"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"369","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,8,"3","'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)","IN"
"370","Kimberley","Wilson",30,"Psychologist","London",4,8,"2","Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House","IN"
"371","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,8,"5","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant","OUT"
"372","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,8,"1","Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot","STAR BAKER"
"373","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,8,NA,NA,NA,NA
"374","Deborah","Manger",51,"Dentist","Peterborough",4,8,NA,NA,NA,NA
"375","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,8,NA,NA,NA,NA
"376","Howard","Middleton",51,"Council Worker","Sheffield",4,8,NA,NA,NA,NA
"377","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,8,NA,NA,NA,NA
"378","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,8,NA,NA,NA,NA
"379","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,8,NA,NA,NA,NA
"380","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,8,NA,NA,NA,NA
"381","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,9,"2","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake","IN"
"382","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,9,"4","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake","IN"
"383","Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,9,"3","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake","OUT"
"384","Kimberley","Wilson",30,"Psychologist","London",4,9,"1","Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake","STAR BAKER"
"385","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,9,NA,NA,NA,NA
"386","Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,9,NA,NA,NA,NA
"387","Deborah","Manger",51,"Dentist","Peterborough",4,9,NA,NA,NA,NA
"388","Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,9,NA,NA,NA,NA
"389","Howard","Middleton",51,"Council Worker","Sheffield",4,9,NA,NA,NA,NA
"390","Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,9,NA,NA,NA,NA
"391","Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,9,NA,NA,NA,NA
"392","Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,9,NA,NA,NA,NA
"393","Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,9,NA,NA,NA,NA
"394","Kimberley","Wilson",30,"Psychologist","London",4,10,"1","Chicken and Pig Pie","Languages of Love Wedding Cake","Runner-up"
"395","Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,10,"2","Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake","Runner-up"
"396","Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,10,"3","Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake","WINNER"
"397","Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,10,NA,NA,NA,NA
